sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [0,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [1,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [2,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [3,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [4,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [5,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [6,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [7,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [8,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [9,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [10,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [11,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [12,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [13,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [14,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [15,0,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [0,1,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [1,1,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [2,1,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [3,1,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [4,1,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [5,1,0] Assertion `A[row * K + col] == 0` failed.
sgemm.cu:31: void sgemm_kernel_A(const float *, const float *, float *, int, int, int, float, float): block: [4,0,0], thread: [6,1,0] Assertion `A[row * K + col] == 0` failed.
